player_image_url,player_name,player_country,player_club,player_position,player_stats_url
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Dominic Ball,England,Ipswich Town,Defender,https://www.premierleague.com/en/players/153775/dominic-ball/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Dom Ballard,England,Southampton,Forward,https://www.premierleague.com/en/players/494543/dom-ballard/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Emilio Ballard-Matthews,England,Wolverhampton Wanderers,Forward,https://www.premierleague.com/en/players/631101/emilio-ballard-matthews/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/225897.png,Fodé Ballo-Touré,Senegal,Fulham,Defender,https://www.premierleague.com/en/players/225897/fode-ballo-toure/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/432160.png,Shandon Baptiste,Grenada,Brentford,Midfielder,https://www.premierleague.com/en/players/432160/shandon-baptiste/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/111931.png,Ricardo Pereira,Portugal,Leicester City,Defender,https://www.premierleague.com/en/players/111931/ricardo-pereira/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/543158.png,Valentín Barco,Argentina,Brighton and Hove Albion,Defender,https://www.premierleague.com/en/players/543158/valentin-barco/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Owen Barker,England,Everton,Midfielder,https://www.premierleague.com/en/players/491552/owen-barker/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/88894.png,Ross Barkley,England,Aston Villa,Midfielder,https://www.premierleague.com/en/players/88894/ross-barkley/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/201666.png,Harvey Barnes,England,Newcastle United,Midfielder,https://www.premierleague.com/en/players/201666/harvey-barnes/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Ty Barnett,England,Wolverhampton Wanderers,Forward,https://www.premierleague.com/en/players/490095/ty-barnett/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/491287.png,Enzo Barrenechea,Argentina,Aston Villa,Midfielder,https://www.premierleague.com/en/players/491287/enzo-barrenechea/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Luca Barrington,England,Brighton and Hove Albion,Forward,https://www.premierleague.com/en/players/500052/luca-barrington/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/232892.png,Calvin Bassey,Nigeria,Fulham,Defender,https://www.premierleague.com/en/players/232892/calvin-bassey/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Callum Bates,England,Everton,Midfielder,https://www.premierleague.com/en/players/547801/callum-bates/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Stevie Bausor,England,Leicester City,Goalkeeper,https://www.premierleague.com/en/players/604736/stevie-bausor/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/451302.png,Altay Bayindir,Turkey,Manchester United,Goalkeeper,https://www.premierleague.com/en/players/451302/altay-bayindir/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/456350.png,Gavin Bazunu,Ireland,Southampton,Goalkeeper,https://www.premierleague.com/en/players/456350/gavin-bazunu/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/474803.png,Eddie Beach,Wales,Chelsea,Goalkeeper,https://www.premierleague.com/en/players/474803/eddie-beach/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/430992.png,Owen Beck,Wales,Liverpool,Defender,https://www.premierleague.com/en/players/430992/owen-beck/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/116535.png,Alisson Becker,Brazil,Liverpool,Goalkeeper,https://www.premierleague.com/en/players/116535/alisson-becker/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/171771.png,Jan Bednarek,Poland,Southampton,Defender,https://www.premierleague.com/en/players/171771/jan-bednarek/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/40349.png,Asmir Begovic,Bosnia & Herzegovina,Everton,Goalkeeper,https://www.premierleague.com/en/players/40349/asmir-begovic/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/477386.png,Armel Bella-Kotchap,Germany,Southampton,Defender,https://www.premierleague.com/en/players/477386/armel-bella-kotchap/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/231057.png,Jean-Ricner Bellegarde,France,Wolverhampton Wanderers,Midfielder,https://www.premierleague.com/en/players/231057/jean-ricner-bellegarde/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/428971.png,Steven Benda,Germany,Fulham,Goalkeeper,https://www.premierleague.com/en/players/428971/steven-benda/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Lewys Benjamin,Wales,Wolverhampton Wanderers,Goalkeeper,https://www.premierleague.com/en/players/606797/lewys-benjamin/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Rhys Bennett,England,Manchester United,Defender,https://www.premierleague.com/en/players/515500/rhys-bennett/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/172841.png,Saïd Benrahma,Algeria,West Ham United,Forward,https://www.premierleague.com/en/players/172841/said-benrahma/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/202993.png,Rodrigo Bentancur,Uruguay,Tottenham Hotspur,Midfielder,https://www.premierleague.com/en/players/202993/rodrigo-bentancur/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/79602.png,Dan Bentley,England,Wolverhampton Wanderers,Goalkeeper,https://www.premierleague.com/en/players/79602/dan-bentley/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/207189.png,Sander Berge,Norway,Fulham,Midfielder,https://www.premierleague.com/en/players/207189/sander-berge/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/482158.png,Lucas Bergström,Finland,Chelsea,Goalkeeper,https://www.premierleague.com/en/players/482158/lucas-bergstrom/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/570526.png,Lucas Bergvall,Sweden,Tottenham Hotspur,Midfielder,https://www.premierleague.com/en/players/570526/lucas-bergvall/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/122074.png,Marcus Bettinelli,England,Chelsea,Goalkeeper,https://www.premierleague.com/en/players/122074/marcus-bettinelli/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Mika Biereth,Denmark,Arsenal,Forward,https://www.premierleague.com/en/players/444880/mika-biereth/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Philip Billing,Denmark,Bournemouth,Midfielder,https://www.premierleague.com/en/players/168991/philip-billing/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/227127.png,Yves Bissouma,Mali,Tottenham Hotspur,Midfielder,https://www.premierleague.com/en/players/227127/yves-bissouma/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Leo Black,England,Tottenham Hotspur,Forward,https://www.premierleague.com/en/players/499722/leo-black/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Harvey Blair,England,Liverpool,Forward,https://www.premierleague.com/en/players/466937/harvey-blair/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/461377.png,Malachi Boateng,England,Crystal Palace,Midfielder,https://www.premierleague.com/en/players/461377/malachi-boateng/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/477555.png,Oscar Bobb,Norway,Manchester City,Midfielder,https://www.premierleague.com/en/players/477555/oscar-bobb/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/515597.png,Lamare Bogarde,Netherlands,Aston Villa,Defender,https://www.premierleague.com/en/players/515597/lamare-bogarde/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Bendegúz Bolla,Hungary,Wolverhampton Wanderers,Defender,https://www.premierleague.com/en/players/431960/bendeguz-bolla/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/90585.png,Willy-Arnaud Boly,Cote d’Ivoire,Nottingham Forest,Defender,https://www.premierleague.com/en/players/90585/willy-arnaud-boly/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Somto Boniface,England,Ipswich Town,Defender,https://www.premierleague.com/en/players/547693/somto-boniface/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Beau Booth,England,Brentford,Midfielder,https://www.premierleague.com/en/players/549130/beau-booth/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/518620.png,Ângelo,Brazil,Chelsea,Forward,https://www.premierleague.com/en/players/518620/angelo/stats
